                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7797,                 1.2895,                 1.8844,                0.85672,                0.77629,                0.84864,                0.55832,                 403.04,                 403.04,                 403.04,                0.06707,             0.00033262,             0.00033262
                      2,                 1.0677,                0.64885,                 1.2687,                0.95505,                0.88419,                0.94898,                0.70421,                  373.5,                  373.5,                  373.5,               0.034026,               0.000622,               0.000622
                      3,                 0.9188,                 0.5389,                 1.1519,                0.94416,                0.86805,                0.94218,                0.71559,                 409.92,                 409.92,                 409.92,             0.00093846,             0.00086738,             0.00086738
                      4,                0.83523,                0.48313,                 1.0938,                0.97095,                 0.9145,                0.96839,                0.76395,                 369.54,                 369.54,                 369.54,               0.000802,               0.000802,               0.000802
                      5,                0.77339,                0.44335,                 1.0542,                0.97179,                0.93155,                0.97592,                0.79382,                 314.32,                 314.32,                 314.32,               0.000802,               0.000802,               0.000802
                      6,                0.72247,                0.40727,                 1.0226,                0.97385,                0.93481,                 0.9773,                0.81674,                 308.81,                 308.81,                 308.81,               0.000736,               0.000736,               0.000736
                      7,                0.67786,                0.38218,                0.99586,                 0.9772,                0.94335,                0.98155,                0.82134,                 303.86,                 303.86,                 303.86,                0.00067,                0.00067,                0.00067
                      8,                0.64163,                0.35902,                0.97579,                0.98217,                0.95349,                0.98671,                0.84307,                 280.09,                 280.09,                 280.09,               0.000604,               0.000604,               0.000604
                      9,                0.61022,                0.34159,                0.95864,                0.98588,                0.96577,                0.98925,                0.86376,                 255.47,                 255.47,                 255.47,               0.000538,               0.000538,               0.000538
                     10,                0.58457,                0.32598,                0.94454,                 0.9839,                0.96623,                0.98946,                0.86981,                 240.37,                 240.37,                 240.37,               0.000472,               0.000472,               0.000472
                     11,                0.55792,                0.31277,                0.93154,                0.98774,                0.97041,                0.99186,                0.87948,                 215.76,                 215.76,                 215.76,               0.000406,               0.000406,               0.000406
                     12,                0.53043,                0.29847,                0.91776,                0.98648,                0.97669,                0.99341,                0.89454,                 196.33,                 196.33,                 196.33,                0.00034,                0.00034,                0.00034
                     13,                0.50765,                 0.2865,                0.90725,                0.98682,                0.97836,                0.99368,                0.90203,                 188.17,                 188.17,                 188.17,               0.000274,               0.000274,               0.000274
                     14,                0.48296,                0.27598,                0.89504,                0.99213,                0.98028,                0.99434,                0.91039,                 176.83,                 176.83,                 176.83,               0.000208,               0.000208,               0.000208
                     15,                0.45507,                0.26283,                0.88395,                 0.9922,                0.98138,                0.99446,                0.91803,                 178.14,                 178.14,                 178.14,               0.000142,               0.000142,               0.000142
